candidate_id,candidate_election_year,candidate_name,party_full,incumbent_challenge_full,office,total_receipts,total_disbursements,cash_on_hand_end_period,committee_ids,coverage_end_date,candidate_pcc_id,candidate_pcc_name
P20002804,2012,"BARR, ROSEANNE",OTHER,Challenger,P,56701.61,56543.64,0.00,{C00511220},2012-12-31 00:00:00,C00511220,ROSEANNE FOR PRESIDENT 2012
P20002820,2012,"MOORE, ROY",REPUBLICAN PARTY,Challenger,P,0.0,0.0,0.0,{C00495606},,C00495606,FRIENDS OF ROY MOORE
P20002838,2012,"HILL, CHRISTOPHER V",REPUBLICAN PARTY,Challenger,P,20122.00,16797.00,3825.00,{C00496943},2012-01-26 00:00:00,C00496943,HILL FOR AMERICA
P20002846,2012,"MOLONEY, MICHAEL J",DEMOCRATIC PARTY,Challenger,P,113.00,681.00,431.00,{C00496950},2011-09-30 00:00:00,C00496950,MIKE MOLONEY FOR PRESIDENT
P20002853,2012,"FARNSWORTH, VERL",INDEPENDENT,Challenger,P,14581.67,14737.36,0.00,{C00497008},2012-12-31 00:00:00,C00497008,VERL 4 PRESIDENT
P20002861,2012,"HUNT, EUGENE ROSELL JR",REPUBLICAN PARTY,Challenger,P,0.0,0.0,0.0,{C00497164},,C00497164,EUGENE ROSELL HUNT JR
P20002879,2012,"SHADDEN, STEPHEN DAVID",INDEPENDENT,Challenger,P,2493.00,2492.00,0.00,{C00497206},2012-12-31 00:00:00,C00497206,COMMITTEE TO ELECT STEPHEN SHADDEN FOR PRESIDENT
P20002887,2012,"HARRIS, JEFFREY NICHOLAS",REPUBLICAN PARTY,Challenger,P,0.0,0.0,0.0,{C00498063},,C00498063,JEFFREY HARRIS 2012
P20002903,2012,"HYKES, DARRELL",NONE,Challenger,P,478.00,1035.29,-605.75,{C00497834},2012-12-31 00:00:00,C00497834,HYKES FOR THE AMERICAN DREAM
P20002929,2012,"DAY, TIMOTHY TERRELL",REPUBLICAN PARTY,Challenger,P,0.0,0.0,0.0,"{C00497339,C00527341}",,C00497339,DAY FOR PRESIDENT FKA DAY FOR ALL OF AMERICA
