Date, Open, High, Low, Close, Volume
11/9/2017,60.5,60.892,59.26,60.598,27235734.59
11/8/2017,61.1,61.378,60.26,60.878,23626354.65
11/7/2017,60.204,61.3,60.006,61.21,26471369.6
11/6/2017,61.4,61.5,59.802,60.556,32430044.51
11/3/2017,59.9,61.25,59.026,61.218,44469869.33
11/2/2017,60.026,61.738,58.526,59.852,98957098.52
11/1/2017,66.45,66.5218,64.052,64.216,42286679.37
10/31/2017,64.046,66.39,64.036,66.306,28361734.57
10/30/2017,63.836,64.756,63.45,64.016,21271889.68
10/27/2017,63.95,64.918,63.332,64.174,34898519.48
10/26/2017,65.556,66.046,64.64,65.234,25117499.62
10/25/2017,67.34,67.5,64.712,65.168,42970364.36
10/24/2017,67.76,68.56,67.232,67.468,22458359.66
10/23/2017,69.976,69.99,67.25,67.404,28736729.57
10/20/2017,70.538,70.91,68.868,69.02,24651974.63
10/19/2017,71.112,71.4293,69.64,70.362,25309214.62
10/18/2017,71.194,72.6,70.826,71.93,24695369.63
10/17/2017,70.182,71.244,70.014,71.15,16466724.75
10/16/2017,70.752,70.896,69.432,70.12,26877429.6
10/13/2017,71.396,71.698,70.736,71.114,17702664.73
10/12/2017,70.59,71.956,70.528,71.136,20435239.69
10/11/2017,70.778,71.52,70.23,70.92,22504154.66
10/10/2017,69.36,71.126,69.1061,71.118,34892479.48
10/9/2017,69.93,70.35,68.534,68.588,37468264.44
10/6/2017,70.62,72.0198,70.45,71.376,21487369.68
10/5/2017,71.2,71.487,70.27,71.066,20858374.69
10/4/2017,70.25,71.724,69.92,71.002,40817714.39
10/3/2017,67.18,69.71,66.256,69.628,50767999.24
10/2/2017,68.504,68.74,67.102,68.306,26433869.6
9/29/2017,68.372,68.936,67.7202,68.22,25535409.62
9/28/2017,67.976,68.55,67.08,67.92,26598084.6
9/27/2017,69.98,70.2978,68.1,68.194,30301649.55
9/26/2017,70.186,70.248,68.18,69.05,35781364.46
9/25/2017,70.63,71.4938,68.576,68.998,38029724.43
9/22/2017,73.298,73.98,70.176,70.218,40797084.39
9/21/2017,74.98,75.366,72.902,73.296,23090949.65
9/20/2017,74.6,75.6498,74.214,74.782,24595259.63
9/19/2017,76,76.478,74.714,75.02,32259429.52
9/18/2017,76.05,77.922,75.536,77,35939899.46
9/15/2017,74.902,76,74.54,75.962,27102479.59
9/14/2017,72.866,75.592,72.526,75.528,36012619.46
9/13/2017,72.764,73.614,71.918,73.246,20926154.69
9/12/2017,72.898,73.752,72.08,72.55,29864534.55
9/11/2017,70.27,72.742,70,72.738,38335279.42
9/8/2017,69.798,69.956,68.46,68.68,16317539.76
9/7/2017,69.196,70.496,68.69,70.122,21196064.68
9/6/2017,69.9,70.1958,68.312,68.906,20456754.69
9/5/2017,70.76,71.098,69.178,69.918,19241909.71
9/1/2017,71.224,71.518,70.738,71.08,15247729.77
8/31/2017,70.71,71.688,70.564,71.18,20363974.69
8/30/2017,69.934,70.694,69.4,70.636,17064714.74
8/29/2017,67.896,69.81,67.75,69.472,20368374.69
8/28/2017,69.456,69.47,67.944,69.132,18819779.72
8/25/2017,70.848,71.138,69.46,69.61,17419779.74
8/24/2017,70.504,71.332,69.948,70.586,22923434.66
8/23/2017,67.798,70.698,67.6608,70.554,24772519.63
8/22/2017,68.226,68.448,67.4745,68.27,21609829.68
8/21/2017,69.164,69.164,66.37,67.572,32477119.51
8/18/2017,70.582,70.8,69.16,69.492,27040914.59
8/17/2017,72.242,72.66,70.318,70.384,25138299.62
8/16/2017,72.6,73.3,72.504,72.582,17068864.74
8/15/2017,73.04,73.098,71.874,72.466,15425439.77
8/14/2017,72.926,73.532,72.52,72.76,22595929.66
8/11/2017,71.394,72.252,70.724,71.574,21828914.67
8/10/2017,72.32,73.3301,70.932,71.08,35464284.47
8/9/2017,72.2,74,71.79,72.706,34460479.48
8/8/2017,71.506,73.716,71.48,73.044,37249184.44
8/7/2017,71.47,71.896,70.55,71.034,31622399.53
8/4/2017,69.4,71.454,68.66,71.382,46344544.3
8/3/2017,69.066,70,68.63,69.418,67675153.98
8/2/2017,63.788,65.424,62.244,65.178,65457299.02
8/1/2017,64.6,64.89,63.226,63.914,41515509.38
7/31/2017,67.1,68.298,64.208,64.694,42675679.36
7/28/2017,67.378,67.92,66.502,67.014,24402069.63
7/27/2017,69.2,69.5,65.258,66.892,41512024.38
7/26/2017,68.072,69.1,67.624,68.77,24103949.64
7/25/2017,69,69.12,66.83,67.92,34945984.48
7/24/2017,66.048,68.6798,66.002,68.504,43185409.35
7/21/2017,65.892,66.2515,65.16,65.68,24508029.63
7/20/2017,65.38,66.044,64.84,65.984,25830939.61
7/19/2017,65.646,66.33,64.6439,65.052,31785069.52
7/18/2017,63.5,65.826,63.132,65.648,31868599.52
7/17/2017,65.108,65.42,62.69,63.914,49384559.26
7/14/2017,64.638,65.684,64.244,65.556,28126054.58
7/13/2017,66.022,66.32,63.994,64.682,42972329.36
7/12/2017,66.08,66.62,64.9,65.904,51730649.22
7/11/2017,63.2,65.456,62.86,65.444,57796999.13
7/10/2017,62.58,63.588,60.626,63.21,69104448.96
